id,target
0,0
1,0
2,0
3,0
4,0
5,0
7,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
20,0
21,0
24,0
25,2
26,0
27,0
28,0
29,0
30,0
31,0
33,0
35,0
36,0
38,0
39,0
41,0
43,0
44,0
45,0
46,0
47,0
49,2
50,0
51,0
52,0
53,0
56,0
58,0
59,0
61,0
62,0
64,0
65,0
67,0
68,0
70,0
71,0
72,0
73,1
74,0
75,0
76,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
87,0
88,0
91,0
93,0
94,0
96,0
97,0
99,0
100,2
101,0
103,0
104,0
107,0
108,0
110,0
111,0
112,0
115,0
116,2
119,0
120,0
122,0
123,0
125,0
126,0
127,0
129,0
131,0
133,1
134,0
135,2
136,0
138,0
139,0
140,0
141,0
142,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
175,0
181,0
182,0
183,0
188,0
189,0
190,0
191,0
192,0
195,0
198,0
200,0
201,0
202,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
220,0
221,0
222,0
225,0
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,0
235,0
236,0
239,0
240,0
241,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
251,0
255,0
256,0
259,0
260,0
262,0
263,0
264,0
265,0
266,0
269,0
270,0
274,0
275,1
276,0
277,0
278,0
280,0
281,0
282,0
285,0
286,0
287,1
288,0
289,0
290,2
293,0
294,0
295,0
299,0
300,0
303,0
304,0
305,2
306,0
307,0
308,0
311,0
312,0
313,1
314,0
315,0
316,0
318,2
319,0
321,2
323,1
324,2
325,1
326,0
327,1
330,2
331,2
333,0
334,0
335,0
336,0
337,2
338,0
339,0
341,0
342,2
343,0
344,0
348,0
349,0
350,2
352,0
354,0
357,0
359,0
360,0
361,0
363,2
364,0
365,0
367,1
368,2
369,0
372,0
373,0
374,0
375,0
378,1
379,0
380,0
381,2
382,0
385,0
386,2
387,0
388,0
391,0
392,0
394,0
397,0
399,0
400,1
401,0
402,1
406,2
407,0
408,0
409,2
410,0
412,2
413,0
414,1
416,0
417,0
418,1
420,0
421,1
422,1
423,0
424,0
425,0
427,0
428,1
429,0
430,0
432,1
433,0
436,1
437,0
438,0
439,1
441,1
442,0
443,1
445,1
447,0
448,1
450,1
451,0
452,0
454,0
455,1
459,2
460,0
461,0
462,0
465,1
466,0
467,2
468,2
471,0
472,0
473,0
474,0
475,2
476,1
477,0
478,0
479,2
480,0
481,0
482,2
483,0
485,0
487,2
488,0
489,0
491,0
492,0
495,0
496,0
499,0
502,0
503,1
504,0
509,0
511,0
512,0
514,2
515,0
516,0
517,0
518,0
519,1
520,1
522,0
524,1
525,1
526,1
527,0
530,2
531,1
532,2
533,0
534,0
535,0
536,1
538,1
539,0
540,2
541,0
542,0
543,0
544,0
545,0
546,2
548,0
549,2
550,0
551,0
553,2
554,0
555,0
556,1
557,0
558,0
559,1
561,0
563,2
564,0
566,2
567,1
568,2
571,1
572,0
577,0
578,0
579,0
581,2
582,0
584,0
585,0
586,0
587,0
589,2
590,2
591,2
593,2
594,0
595,0
598,1
599,0
600,0
601,0
602,0
603,1
604,2
605,0
606,0
607,0
608,0
609,0
611,0
612,0
614,0
615,0
616,0
620,0
621,1
623,0
624,1
626,0
627,0
628,1
629,0
630,0
631,2
632,0
633,0
634,0
635,1
637,2
639,0
641,0
642,1
643,2
644,1
645,1
646,0
647,1
649,0
650,0
651,0
652,1
653,2
654,2
655,1
656,2
657,1
658,1
659,0
660,0
661,0
662,1
663,0
664,0
665,0
666,0
667,0
668,2
669,2
670,0
671,1
672,0
674,0
675,0
676,2
679,0
680,0
683,0
684,0
685,1
686,0
687,1
688,1
689,0
691,1
693,0
694,1
695,1
697,0
700,0
701,0
702,2
703,1
705,1
706,0
707,0
708,0
709,1
711,1
712,0
714,0
715,2
716,1
717,0
718,2
719,2
721,0
722,0
723,0
724,0
726,2
727,0
730,0
731,1
732,1
733,1
734,0
735,2
737,0
738,0
739,2
741,0
742,0
743,0
745,0
746,0
747,0
