id_1,id_2
0,0
0,300
0,447
0,623
0,731
0,784
0,1100
0,1182
0,1559
0,1660
0,1921
0,2062
0,2138
0,2225
0,2881
0,3646
0,4051
0,4252
1,1
1,12
1,13
1,17
1,32
1,105
1,117
1,133
1,146
1,179
1,202
1,265
1,270
1,283
1,299
1,333
1,334
1,337
1,394
1,790
1,875
1,884
1,924
1,1069
1,1177
1,1211
1,1322
1,1387
1,1403
1,1415
1,1484
1,1592
1,1605
1,1712
1,1852
1,1900
1,2067
1,2126
1,2329
1,2388
1,2525
1,2580
1,2975
1,3085
1,3470
1,3592
1,3693
1,3960
1,3979
1,4023
1,4183
2,2
2,11
2,29
2,62
2,136
2,255
2,290
2,575
2,1205
2,1315
2,1951
2,2546
2,3078
2,3387
3,3
3,43
3,65
3,76
3,96
3,119
3,127
3,158
3,177
3,283
3,309
3,321
3,638
3,659
3,675
3,752
3,761
3,813
3,819
3,880
3,1020
3,1026
3,1101
3,1114
3,1156
3,1204
3,1441
3,1462
3,1579
3,1660
3,1715
3,1919
3,1930
3,1933
3,1999
3,2076
3,2263
3,2273
3,2391
3,2557
3,2769
3,2947
3,3100
3,3215
3,3272
3,3285
3,3364
3,3418
3,3456
3,3555
3,3661
3,3760
3,4117
3,4450
3,4656
4,4
4,1055
4,1372
4,1780
4,2266
4,2683
4,3139
4,3347
4,3463
4,3518
4,3576
4,3896
4,4042
4,4357
5,5
5,30
5,37
5,108
5,153
5,160
5,198
5,339
5,502
5,505
5,654
5,715
5,737
5,780
5,794
5,826
5,875
5,881
5,919
5,971
5,993
5,1145
5,1186
5,1190
5,1199
5,1223
5,1255
5,1260
5,1323
5,1339
5,1406
5,1445
5,1510
5,1576
5,1693
5,1759
5,1794
5,1863
5,1969
5,2023
5,2059
5,2160
5,2171
5,2280
5,2368
5,2389
5,2395
5,2499
5,2557
5,2562
5,2638
5,2646
5,2786
5,2788
5,2793
5,3009
5,3075
5,3077
5,3094
5,3120
5,3182
5,3283
5,3335
5,3344
5,3357
5,3359
5,3499
5,3504
5,3621
5,3886
5,3890
5,3968
5,4117
5,4363
5,4385
5,4562
6,6
6,93
6,224
6,244
6,332
6,814
6,1224
6,1351
6,1995
6,2425
6,4164
6,4195
7,7
7,16
7,26
7,31
7,68
7,78
7,79
7,80
7,85
7,126
7,129
7,159
7,208
7,240
7,274
7,314
7,357
7,360
7,426
7,611
7,647
7,719
7,731
7,769
7,777
7,779
7,789
7,836
7,889
7,928
7,961
7,1160
7,1204
7,1218
7,1248
7,1341
7,1437
7,1547
7,1566
7,1616
7,1648
7,1662
7,1762
7,1804
7,2010
7,2055
7,2057
7,2202
7,2255
7,2467
7,2494
7,2596
7,2652
7,2715
7,2755
7,2890
7,2912
7,3179
7,3314
7,3373
7,3424
7,3555
7,3557
7,3757
7,3775
7,4369
8,8
8,32
8,105
8,113
8,114
8,193
8,199
8,279
8,373
8,908
8,1059
8,1118
8,1275
8,1713
8,1931
8,2049
8,2180
8,2378
8,2470
8,2558
8,3318
8,3655
8,3703
8,3979
9,9
9,14
9,535
9,541
9,596
9,1201
9,2264
9,3028
9,4488
10,10
10,344
10,593
10,618
10,740
10,820
10,936
10,957
10,987
10,1022
10,1068
10,1163
10,1203
10,1205
10,1234
10,1246
10,1249
10,1322
10,1373
10,1379
10,1383
10,1428
10,1452
10,1535
10,1690
10,1900
10,1912
10,1984
10,1994
10,2280
10,2539
10,2822
10,2834
10,3114
10,3362
10,3480
10,3650
10,3845
10,3883
10,4045
10,4134
10,4189
10,4438
11,2
11,11
11,29
11,532
11,730
11,2546
11,2728
11,2738
11,2995
11,3387
11,4274
12,1
12,12
12,13
12,17
12,32
12,105
12,117
12,133
12,146
12,179
12,202
12,265
12,270
12,283
12,299
12,333
12,334
12,337
12,394
12,790
12,875
12,884
12,924
12,1069
12,1177
12,1211
12,1322
12,1387
12,1403
12,1415
12,1484
12,1592
12,1605
12,1712
12,1852
12,1900
12,2067
12,2126
12,2329
12,2388
12,2525
12,2580
12,2975
12,3085
12,3470
12,3592
12,3693
12,3960
12,3979
12,4023
12,4183
13,1
13,12
13,13
13,17
13,32
13,105
13,117
13,133
13,179
13,202
13,249
13,255
13,283
13,299
13,337
13,363
13,757
13,790
13,848
13,884
13,924
13,1069
13,1211
13,1322
13,1387
13,1395
13,1403
13,1411
13,1415
13,1467
13,1477
13,1484
13,1542
13,1592
13,1605
13,1712
13,1791
13,1852
13,1900
13,1925
13,2067
13,2077
13,2126
13,2133
13,2166
13,2171
13,2329
13,2337
13,2388
13,2391
13,2470
13,2640
13,2830
13,2890
13,2975
13,3024
13,3085
13,3470
13,3592
13,3693
13,3847
13,3960
13,3979
13,4023
13,4183
13,4210
13,4371
14,9
14,14
14,535
14,541
14,546
14,571
14,596
14,756
14,1176
14,1183
14,1201
14,1778
14,2264
14,2341
14,2700
14,2800
14,3721
14,3983
14,4060
14,4300
15,15
15,46
15,329
15,365
15,554
15,1504
15,1701
15,2084
15,2238
15,2806
